paper_id,research_question,explicit,Correct,Comment,Can likely be extracted by with a regex
1725960,What happens to psychological safety when going remote?,True,True,,False
1725960,How do different work modes affect software teams’ psychological safety?,True,False,,False
1725960,What are the impacts of remote work on team cohesion and communication?,False,False,All derived questions are by definition not correct (for now).,False
1725960,How can teams maintain psychological safety in hybrid work environments?,False,False,,False
1725960,What behaviors and attitudes indicate psychological safety in various work modes?,False,False,,False
1797942,To which extent can Augmented Testing improve the efﬁciency of manual GUI-based regression testing?,True,True,,True
1797942,What are the beneﬁts and drawbacks of Augmented Testing reported by practitioners?,True,True,,True
1797942,What are the observed usability issues of Augmented Testing?,True,True,,True
1799511,"Which qualitative methods, practices, and quality assurance frameworks from the social and behavioral sciences are currently underutilized in and could benefit software engineering research?",True,True,,False
1809779,What is the current state-of-the-literature in terms of internal quality attributes and source code metrics that have been linked with external quality attributes and external metrics?,True,True,,False
1809779,What are the characteristics of the secondary studies that link internal quality attributes and source code metrics with external quality attributes?,True,True,,True
1809779,What is the efficacy of the relationship between internal quality attributes and source code metrics with external quality attributes and external metrics?,True,True,,True
1809779,What is the efficacy of the models that use source code metrics to predict external quality attributes?,True,True,,True
1814031,What is the effectiveness of VON Similo LLM compared to the VON Similo approach in terms of finding correct web elements?,True,True,,True
1814031,"What is the efficiency, measured as execution time, of VON Similo LLM compared to the VON Similo approach?",True,True,,True
1814031,What main aspects does an LLM use to improve web element localization?,True,True,,True
1818167,How appropriate is the inference of user story similarity based on text similarity?,True,True,,True
1818167,To what extent can the actual effort spent on past user stories help developers estimate new similar user stories?,True,True,,True
1818167,What role an estimation tool can play to support the agile estimation process based on historical data?,True,True,,True
1819839,How did the teams comprising researchers and practitioners conduct the RRs?,True,True,,False
1819839,What are the benefits and challenges when conducting RRs?,True,True,,False
1823117,How does the way of working in software teams change when WFH is adopted?,True,True,,True
1823117,How is project management impacted when WFH is adopted?,True,True,,True
1823117,How are software engineering activities impacted when WFH is adopted?,True,True,,True
