paper_id,research_question,explicit
1897989,What are the engineering practices when working with requirements with regulations as a source?,True
1897989,What are the associated challenges encountered by software engineering teams when working with requirements stemming from regulations?,True
1897989,"How can tool support ease engineering activities, highlighted by the identified challenges?",True
1879379,What is the state-of-the-art reported in the literature of ML Threat Modeling of ML-intensive Software Systems?,True
1879379,What challenges and needs do practitioners face when assessing the security of ML-intensive Software Systems?,True
1879379,How and to what extent can we adapt traditional Threat Modeling Techniques to the engineering of ML-intensive Software Systems?,True
1879379,What are the benefits and limitations of adapting Threat Modeling Techniques to ML-intensive Software Systems?,True
1857025,This study sought to gather and analyze user reviews from the Google Play store for leading game apps.,True
1857025,"The primary aim was to construct a dataset for subsequent analysis utilizing requirements engineering, machine learning, and competitive assessment.",True
1854020,RQ 1. Which of the theories and models of acceptance behavior identified in [14] have been used in the software engineering literature?,True
1854020,RQ 2. For which purposes have the theories been used?,True
1854020,RQ 3. In which knowledge areas have the theories been used?,True
1854020,RQ 4. How have the theories been operationalized?,True
1854020,RQ 4.1. Which data collection methods have been used?,True
1854020,RQ 4.2. Which constructs have been used?,True
1887710,How do computing educators incorporate the teaching and learning of professional dispositions into tertiary institutions?,True
1887710,How can educators utilise these teaching and learning practices to foster DEIA mindsets?,True
1887710,How do collaborative learning activities promote professional dispositions and cultivate DEIA mindsets?,True
1887710,What non-technical skills and knowledge are anticipated by the industry for individuals in entry-level roles?,True
1887710,How do the professional dispositions applied in academic learning environments align with the industry’s expectations and computing education policy?,True
1725960,What happens to psychological safety when going remote?,True
1725960,How does remote work impact psychological safety in software development teams?,False
1725960,What behaviors and attitudes related to psychological safety are affected by different work modes?,False
1725960,How can teams maintain psychological safety in remote and hybrid work environments?,False
1725960,What are the challenges and benefits of flexible work arrangements on psychological safety?,False
1873372,which security-specific challenges and needs are relevant in the context of CSD?,True
1873372,How can security practices be effectively integrated into continuous software development workflows?,False
1873372,What are the prioritized challenges for security in continuous software development as perceived by practitioners?,False
1873372,How can organizations improve security skills in agile/DevOps teams?,False
1853669,"How to effectively address unrealistic expectations of ML capabilities from customers, managers and even other team members?",True
1853669,How to connect business value to engineering and data science activities composed by interdisciplinary teams?,True
1853669,What attributes are important to contribute to the overall system’s quality in ML-enabled systems?,False
1853669,How can PerSpecML help practitioners identify key components that would have been otherwise missed?,False
1853669,What challenges need to be addressed to reliably build ML-enabled systems?,False
1853669,How can Requirements Engineering (RE) techniques be extended for ML projects?,False
1853669,What are the implications of using a perspective-based approach for specifying ML-enabled systems?,False
1853669,"How can the communication between business owners, domain experts, designers, software and ML engineers, and data scientists be mediated?",False
1853669,What are the potential threats to validity in the context of specifying ML-enabled systems?,False
1853669,What are the future work opportunities for improving the PerSpecML approach?,False
1871361,What Is Current State-of-Practice for Using CI Environments for Quality Attribute Evaluation?,True
1871361,How Can CI Environments Contribute to Quality Attribute Evaluation?,True
1871361,How Can Practitioners Evolve CI Environments to Meet the Needs of Quality Attribute Evaluation?,True
1906690,This paper introduces a novel end-to-end mobile testing technique designed to enhance exploratory testing by incorporating gamification strategies.,True
